's	s'
imperialist	imperialists
imperil	imperilling,imperiling,imperils,imperiled,imperilled
impersonate	impersonating,impersonated,impersonates
impersonation	impersonations
impersonator	impersonators
impertinence	impertinences
impetus	impetuses
impiety	impieties
impinge	impinged,impinges,impinging
impingement	impingements
implant	implanted,implants,implanting
implantation	implantations
implausibility	implausibilities
implement	implementing,implements,implemented
implementation	implementations
implementer	implementers
implementor	implementors
implicate	implicating,implicates,implicated
implication	implications
implicature	implicatures
implode	imploding,implodes,imploded
implore	imploring,implored,implores
implosion	implosions
imply	implies,implied,implying
imponderable	imponderables
import	importing,imports,imported
importance	importances
importation	importations
importer	importers
importune	importunes,importuned,importuning
importunity	importunities
impose	imposing,imposed,imposes
imposition	impositions
impossibility	impossibilities
imposter	imposters
impostor	impostors
imposture	impostures
impound	impounding,impounds,impounded
impoundment	impoundments
impoverish	impoverishing,impoverished,impoverishes
impracticality	impracticalities
imprecation	imprecations
imprecision	imprecisions
impregnate	impregnating,impregnates,impregnated
impregnation	impregnations
impresario	impresarios
impress	impressing,impresses,impressed
impression	impressions
impressionist	impressionists
imprint	imprinted,imprints,imprinting
imprison	imprisoning,imprisons,imprisoned
imprisonment	imprisonments
improbability	improbabilities
impropriety	improprieties
improve	improving,improved,improves
improvement	improvements
improver	improvers
improvisation	improvisations
improvise	improvised,improvises,improvising
imprudence	imprudences
impudence	impudences
impugn	impugned,impugns,impugning
impulse	impulses
impulsion	impulsions
impure	impurest,impurer
impurity	impurities
imputation	imputations
impute	imputed,imputes,imputing
in-fighting	in-fightings
in-fill	in-fills
in-group	in-groups
in-law	in-laws
in-migration	in-migrations
in-patient	in-patients
in-road	in-roads
inability	inabilities
inaccuracy	inaccuracies
inaction	inactions
inactivate	inactivates,inactivated,inactivating
inactivation	inactivations
inactivity	inactivities
inadequacy	inadequacies
inaptitude	inaptitudes
inattention	inattentions
inaugurate	inaugurated,inaugurates,inaugurating
inauguration	inaugurations
inbreed	inbreeds,inbred,inbreeding
incantation	incantations
incapability	incapabilities
incapacitate	incapacitating,incapacitated,incapacitates
incapacitation	incapacitations
incapacity	incapacities
incarcerate	incarcerated,incarcerates,incarcerating
incarceration	incarcerations
incarnate	incarnated,incarnates,incarnating
incarnation	incarnations
incase	incasing,incases,incased
incautious	incautiously
incendiary	incendiaries
incense	incenses,incensing,incensed
incentive	incentives
incentivisation	incentivisations
incentivise	incentivises,incentivised,incentivising
inception	inceptions
inch	inching,inches,inched
incidence	incidences
incident	incidents
incidental	incidentals
incinerate	incinerating,incinerates,incinerated
incineration	incinerations
incinerator	incinerators
incise	incises,incising,incised
incision	incisions
incisor	incisors
incite	incited,incites,inciting
incitement	incitements
incivility	incivilities
inclination	inclinations
incline	inclined,inclines,inclining
inclose	incloses,inclosing,inclosed
inclosure	inclosures
include	included,including,includes
inclusion	inclusions
incognito	incognitos
income	incomes
income-tax	income-taxes
incommensurability	incommensurabilities
incompatibility	incompatibilities
incompetent	incompetents
incongruity	incongruities
inconsistency	inconsistencies
inconstancy	inconstancies
incontinence	incontinences
inconvenience	inconvenienced,inconveniences,inconveniencing
incorporate	incorporating,incorporates,incorporated
incorporation	incorporations
increase	increased,increases,increasing
increment	incrementing,increments,incremented
incriminate	incriminates,incriminating,incriminated
incubate	incubates,incubating,incubated
incubation	incubations
incubator	incubators
incubus	incubi,incubuses
inculcate	inculcated,inculcates,inculcating
incumbency	incumbencies
incumbent	incumbents
incunabulum	incunabula
incur	incurred,incurring,incurs
incurable	incurables
incursion	incursions
indecency	indecencies
indemnification	indemnifications
indemnify	indemnifies,indemnifying,indemnified
indemnity	indemnities
indent	indenting,indents,indented
indentation	indentations
indenter	indenters
indenture	indentured,indenturing,indentures
independence	independences
independency	independencies
independent	independents
indeterminacy	indeterminacies
index	indexes,indices,indexed,indexing
indexer	indexers
indexing	indexings
indicate	indicated,indicating,indicates
indication	indications
indicator	indicators
indict	indicting,indicted,indicts
indictment	indictments
indictor	indictors
indifference	indifferences
indignation	indignations
indignity	indignities
indigo	indigoes,indigos
indirect	indirecter,indirectest
indirection	indirections
indiscretion	indiscretions
indisposition	indispositions
individual	individuals
individualise	individualises,individualised,individualising
individualist	individualists
individuality	individualities
individualize	individualizing,individualized,individualizes
individuate	individuates,individuating,individuated
individuation	individuations
indivisibility	indivisibilities
indoctrinate	indoctrinated,indoctrinates,indoctrinating
indoctrination	indoctrinations
indole	indoles
indoor	indoors
induce	induced,inducing,induces
inducement	inducements
inducer	inducers
induct	inducting,inducts,inducted
inductance	inductances
inductee	inductees
induction	inductions
inductor	inductors
indulge	indulged,indulging,indulges
indulgence	indulgences
industrial	industrials
industrialise	industrialising,industrialises,industrialised
industrialist	industrialists
industrialize	industrialized,industrializes,industrializing
industry	industries
indwell	indwelled,indwelt,indwells,indwelling
inebriate	inebriated,inebriates,inebriating
inefficiency	inefficiencies
ineligibility	ineligibilities
ineligible	ineligibles
inept	ineptest,inepter
inequality	inequalities
inequity	inequities
inertia	inertias
inessential	inessentials
inevitability	inevitabilities
inexperience	inexperiences
inf	infs
infamy	infamies
infancy	infancies
infant	infants
infanticide	infanticides
infantry	infantries
infantryman	infantrymen
infarct	infarcts
infarction	infarctions
infatuation	infatuations
infect	infecting,infected,infects
infection	infections
infectivity	infectivities
infer	infers,inferring,inferred
inference	inferences
inferior	inferiors
inferno	infernos
infertility	infertilities
infest	infests,infested,infesting
infestation	infestations
infidel	infidels
infidelity	infidelities
infield	infields
infill	infills,infilled,infilling
infiltrate	infiltrates,infiltrated,infiltrating
infiltration	infiltrations
infiltrator	infiltrators
infinitive	infinitives
infinity	infinities
infirmary	infirmaries
infirmity	infirmities
infix	infixes
inflame	inflaming,inflamed,inflames
inflammation	inflammations
inflatable	inflatables
inflate	inflated,inflates,inflating
inflation	inflations
inflator	inflators
inflect	inflected,inflecting,inflects
inflection	inflections
inflexion	inflexions
inflict	inflicted,inflicts,inflicting
infliction	inflictions
inflorescence	inflorescences
inflow	inflows
influence	influencing,influences,influenced
influencer	influencers
influenza	influenzas
influenzavirus	influenzaviruses
influx	influxes
infomercial	infomercials
inform	informed,informing,informs
informality	informalities
informant	informants
information	informations
informer	informers
infra-structure	infra-structures
infraction	infractions
infrasound	infrasounds
infrastructure	infrastructures
infrequency	infrequencies
infringe	infringed,infringes,infringing
infringement	infringements
infuriate	infuriated,infuriating,infuriates
infuse	infusing,infused,infuses
infusion	infusions
infusor	infusors
ingenue	ingenues
ingenuity	ingenuities
ingest	ingested,ingests,ingesting
ingestion	ingestions
ingle	ingles
ingot	ingots
ingratiate	ingratiating,ingratiates,ingratiated
ingredient	ingredients
inhabit	inhabiting,inhabits,inhabited
inhabitant	inhabitants
inhabitation	inhabitations
inhalant	inhalants
inhalation	inhalations
inhale	inhaling,inhales,inhaled
inhaler	inhalers
inhere	inhered,inheres,inhering
inherit	inherited,inheriting,inherits
inheritance	inheritances
inheritor	inheritors
inhibit	inhibited,inhibiting,inhibits
inhibition	inhibitions
inhibitor	inhibitors
inhomogeneity	inhomogeneities
inhumanity	inhumanities
inhumation	inhumations
iniquity	iniquities
initial	initialled,initialing,initials,initialed,initialling
initialisation	initialisations
initialise	initialising,initialised,initialises
initialization	initializations
initialize	initializes,initializing,initialized
initiate	initiates,initiated,initiating
initiation	initiations
initiative	initiatives
initiator	initiators
inject	injected,injecting,injects
injection	injections
injector	injectors
injunction	injunctions
injure	injures,injuring,injured
injury	injuries
injustice	injustices
ink	inking,inks,inked
ink-pencil	ink-pencils
inkling	inklings
inkstand	inkstands
inkwell	inkwells
inky	inkier,inkiest
inlay	inlayinging,inlaid,inlaying,inlays,inlayed
inlet	inlets,inletting
inmate	inmates
inn	inns
inner	inners
innervate	innervating,innervates,innervated
innervation	innervations
inning	innings
innkeeper	innkeepers
innocent	innocents
innovate	innovating,innovates,innovated
innovation	innovations
innovator	innovators
innuendo	innuendos,innuendoes
inoculant	inoculants
inoculate	inoculating,inoculates,inoculated
inoculation	inoculations
inoculum	inocula,inoculums
inositol	inositols
inpatient	inpatients
input	inputting,inputs,inputted
input-output	input-outputs
inquest	inquests
inquire	inquires,inquiring,inquired
inquirer	inquirers
inquiry	inquiries
inquisition	inquisitions
inquisitor	inquisitors
inroad	inroads
insane	insanest,insaner
insanity	insanities
inscribe	inscribing,inscribed,inscribes
inscription	inscriptions
insect	insects
insecticide	insecticides
insecurity	insecurities
inseminate	inseminated,inseminates,inseminating
insemination	inseminations
insensitivity	insensitivities
insert	inserting,inserted,inserts
inserter	inserters
insertion	insertions
inset	insets,insetting,insetted
inside	insides
insider	insiders
insight	insights
insigne	insignias,insignia
insignia	insignias
insincerity	insincerities
insinuate	insinuated,insinuating,insinuates
insinuation	insinuations
insist	insisted,insists,insisting
insole	insoles
insolvency	insolvencies
insomnia	insomnias
insomniac	insomniacs
inspect	inspects,inspecting,inspected
inspection	inspections
inspector	inspectors
inspectorate	inspectorates
inspiration	inspirations
inspire	inspiring,inspires,inspired
instability	instabilities
instal	installed,instals,installing
install	installed,installs,installing
installation	installations
installer	installers
installment	installments
instalment	instalments
instance	instances,instancing,instanced
instant	instants
instantiate	instantiates,instantiated,instantiating
instantiation	instantiations
instar	instars
instate	instating,instates,instated
instep	insteps
instigate	instigated,instigates,instigating
instigator	instigators
instil	instils,instilled,instilling
instill	instills,instilled,instilling
instillation	instillations
instinct	instincts
institute	instituting,instituted,institutes
institution	institutions
institutionalisation	institutionalisations
institutionalise	institutionalises,institutionalised,institutionalising
institutionalization	institutionalizations
institutionalize	institutionalizing,institutionalizes,institutionalized
instruct	instructs,instructed,instructing
instruction	instructions
instructor	instructors
instrument	instrumented,instrumenting,instruments
instrumentalist	instrumentalists
instrumentality	instrumentalities
instrumentation	instrumentations
insubordination	insubordinations
insufficiency	insufficiencies
insula	insulae
insulate	insulates,insulated,insulating
insulation	insulations
insulator	insulators
insulin	insulins
insulinoma	insulinomas,insulinomata
insult	insulted,insulting,insults
insurance	insurances
insure	insured,insuring,insures
insured	insureds
insurer	insurers
insurgency	insurgencies
insurgent	insurgents
insurrection	insurrections
intaglio	intaglios
intake	intakes
intangible	intangibles
integer	integers
integral	integrals
integrase	integrases
integrate	integrating,integrates,integrated
integration	integrations
integrationist	integrationists
integrator	integrators
integrin	integrins
integrity	integrities
intellect	intellects
intellectual	intellectuals
intellectualise	intellectualised,intellectualises,intellectualising
intellectualism	intellectualisms
intelligentsia	intelligentsias
intelligibility	intelligibilities
intend	intends,intending,intended
intense	intenser,intensest
intensification	intensifications
intensifier	intensifiers
intensify	intensified,intensifying,intensifies
intension	intensions
intensity	intensities
intent	intents
intention	intentions
inter	inters,interred,interring
inter-action	inter-actions
inter-connection	inter-connections
inter-dependence	inter-dependences
inter-relation	inter-relations
inter-relationship	inter-relationships
inter-university	inter-universities
interact	interacts,interacted,interacting
interaction	interactions
interactionist	interactionists
interactivity	interactivities
interactor	interactors
interbreed	interbreeding,interbred,interbreeds
intercalate	intercalates,intercalated,intercalating
intercalation	intercalations
intercede	interceded,intercedes,interceding
intercept	intercepts,intercepted,intercepting
interception	interceptions
interceptor	interceptors
intercession	intercessions
intercessor	intercessors
interchange	interchanging,interchanges,interchanged
interchangeability	interchangeabilities
intercom	intercoms
intercommunication	intercommunications
intercomparison	intercomparisons
interconnect	interconnects,interconnected,interconnecting
interconnection	interconnections
interconnectivity	interconnectivities
intercooler	intercoolers
intercourse	intercourses
intercrop	intercrops,intercropped,intercropping
intercross	intercrosses,intercrossed,intercrossing
intercut	intercutting,intercuts,intercutted
interdependence	interdependences
interdependency	interdependencies
interdict	interdicted,interdicts,interdicting
interdiction	interdictions
interest	interesting,interests,interested
interface	interfaced,interfaces,interfacing
interfacing	interfacings
interfere	interfered,interferes,interfering
interference	interferences
interferer	interferers
interferogram	interferograms
interferometer	interferometers
interferometry	interferometries
interferon	interferons
interglacial	interglacials
interim	interims
interior	interiors
interject	interjecting,interjects,interjected
interjection	interjections
interlace	interlaces,interlacing,interlaced
interlanguage	interlanguages
interlayer	interlayers
interleave	interleaved,interleaves,interleaving
interleukin	interleukins
interline	interlining,interlines,interlined
interlink	interlinked,interlinks,interlinking
interlock	interlocked,interlocking,interlocks
interlocutor	interlocutors
interloper	interlopers
interlude	interludes
intermarriage	intermarriages
intermarry	intermarrying,intermarried,intermarries
intermedia	intermediae
intermediary	intermediaries
intermediate	intermediates
intermedium	intermediums,intermedia
interment	interments
intermingle	intermingled,intermingles,intermingling
intermission	intermissions
intermittency	intermittencies
intermix	intermixing,intermixed,intermixes
intermodulation	intermodulations
intern	interned,interns,interning
internal	internals
internalisation	internalisations
internalise	internalised,internalises,internalising
internalization	internalizations
internalize	internalized,internalizes,internalizing
international	internationals
internationalise	internationalised,internationalising,internationalises
internationalist	internationalists
internationalize	internationalizing,internationalizes,internationalized
internee	internees
internet	internets
interneuron	interneurons
internist	internists
internment	internments
internode	internodes
internship	internships
interoperate	interoperates,interoperating,interoperated
interpenetrate	interpenetrates,interpenetrating,interpenetrated
interpenetration	interpenetrations
interphase	interphases
interplay	interplays
interpolate	interpolating,interpolated,interpolates
interpolation	interpolations
interpose	interposing,interposes,interposed
interposition	interpositions
interpret	interprets,interpreted,interpreting
interpretant	interpretants
interpretation	interpretations
interpreter	interpreters
interprocess	interprocesses
interregnum	interregna,interregnums
interrelate	interrelates,interrelating,interrelated
interrelation	interrelations
interrelationship	interrelationships
interrogate	interrogates,interrogated,interrogating
interrogation	interrogations
interrogative	interrogatives
interrogator	interrogators
interrupt	interrupting,interrupted,interrupts
interrupter	interrupters
interruption	interruptions
intersect	intersecting,intersects,intersected
intersection	intersections
intersex	intersexes
intersperse	interspersing,interspersed,intersperses
interstate	interstates
interstice	interstices
interstitial	interstitials
intertwine	intertwining,intertwined,intertwines
interval	intervals
intervene	intervened,intervening,intervenes
intervener	interveners
intervention	interventions
interventionist	interventionists
interview	interviewed,interviews,interviewing
interviewee	interviewees
interviewer	interviewers
interweave	interweaved,interweaves,interweaving,interwove,interwoven
interworking	interworkings
intestate	intestates
intestine	intestines
intimacy	intimacies
intimate	intimating,intimated,intimates
intimation	intimations
intimidate	intimidating,intimidates,intimidated
intimidation	intimidations
intolerance	intolerances
intonation	intonations
intone	intoned,intones,intoning
intoxicant	intoxicants
intoxicate	intoxicating,intoxicated,intoxicates
intoxication	intoxications
intranet	intranets
intricacy	intricacies
intrigue	intriguing,intrigues,intrigued
intrinsic	intrinsics
intro	intros
introduce	introduced,introduces,introducing
introducer	introducers
introduction	introductions
introject	introjects,introjected,introjecting
introjection	introjections
intron	introns
introspection	introspections
introvert	introverting,introverted,introverts
intrude	intruding,intruded,intrudes
intruder	intruders
intrusion	intrusions
intrust	intrusted,intrusts,intrusting
intubate	intubating,intubates,intubated
intubation	intubations
intuit	intuits,intuiting,intuited
intuition	intuitions
inundate	inundating,inundates,inundated
inundation	inundations
inure	inures,inuring,inured
inv	invs
invade	invaded,invading,invades
invader	invaders
invalid	invalids,invaliding,invalided
invalidate	invalidates,invalidating,invalidated
invalidation	invalidations
invalidity	invalidities
invariance	invariances
invariant	invariants
invasion	invasions
invective	invectives
inveigh	inveighing,inveighed,inveighs
inveigle	inveigled,inveigling,inveigles
invent	invents,invented,inventing
invention	inventions
inventor	inventors
inventory	inventories,inventoried,inventorying
inverse	inverses
inversion	inversions
invert	inverts,inverted,inverting
invertebrate	invertebrates
inverter	inverters
invest	invests,investing,invested
investigate	investigating,investigated,investigates
investigation	investigations
investigator	investigators
investiture	investitures
investment	investments
investor	investors
invigilate	invigilated,invigilating,invigilates
invigilator	invigilators
invigorate	invigorated,invigorates,invigorating
invitation	invitations
invite	inviting,invited,invites
invitee	invitees
inviting	invitinger,invitingest
invocation	invocations
invoice	invoices,invoiced,invoicing
invoke	invoking,invoked,invokes
involution	involutions
involve	involves,involving,involved
involvement	involvements
iodide	iodides
iodine	iodines
ion	ions
ionisation	ionisations
ionise	ionising,ionises,ionised
ioniser	ionisers
ionization	ionizations
ionize	ionizes,ionizing,ionized
iris	irises,irides
irk	irks,irked,irking
iron	irons,ironing,ironed
ironmaster	ironmasters
ironmonger	ironmongers
irony	ironies
irradiance	irradiances
irradiate	irradiated,irradiating,irradiates
irradiation	irradiations
irrationality	irrationalities
irregular	irregulars
irregularity	irregularities
irrelevance	irrelevances
irrelevancy	irrelevancies
irreversibility	irreversibilities
irrigate	irrigating,irrigated,irrigates
irrigation	irrigations
irritability	irritabilities
irritancy	irritancies
irritant	irritants
irritate	irritates,irritated,irritating
irritation	irritations
irruption	irruptions
ischaemia	ischaemias
ischemia	ischemias
island	islands
islander	islanders
isle	isles
islet	islets
isobar	isobars
isochrone	isochrones
isocyanate	isocyanates
isoenzyme	isoenzymes
isoflavone	isoflavones
isoform	isoforms
isolate	isolated,isolating,isolates
isolation	isolations
isolationist	isolationists
isolator	isolators
isomer	isomers
isomerism	isomerisms
isometric	isometrics
isometry	isometries
isomorphism	isomorphisms
isoprene	isoprenes
isoprenoid	isoprenoids
isopropyl	isopropyls
isotherm	isotherms
isothiocyanate	isothiocyanates
isotope	isotopes
isotype	isotypes
isozyme	isozymes
issuance	issuances
issue	issues,issuing,issued
issuer	issuers
isthmus	isthmuses,isthmi
italicise	italicises,italicised,italicising
italicize	italicizing,italicized,italicizes
itch	itching,itched,itches
itchy	itchiest,itchier
item	items
itemise	itemises,itemised,itemising
itemize	itemizing,itemized,itemizes
iter	itinera,iters
iterate	iterating,iterates,iterated
iteration	iterations
itinerant	itinerants
itinerary	itineraries
ivory	ivories
ivy	ivies
jab	jabbing,jabs,jabbed
jabber	jabbered,jabbering,jabbers
jack	jacked,jacking,jacks
jack-in-the-box	jack-in-the-boxes
jack-knife	jack-knives,jack-knifes,jack-knifed,jack-knifing
jack-of-all-trades	jacks-of-all-trades
jackal	jackals
jackass	jackasses
jackboot	jackboots
jackdaw	jackdaws
jacket	jacketing,jackets,jacketed
jackpot	jackpots
jacquard	jacquards
jaffa	jaffas
jag	jagged,jagging,jags
jaggy	jaggier
jaguar	jaguars
jail	jailing,jails,jailed
jailbird	jailbirds
jailbreak	jailbreaks
jailer	jailers
jalapeno	jalapenos
jalopy	jalopies
jam	jamming,jammed,jams
jam-jar	jam-jars
jamb	jambs
jamboree	jamborees
jammer	jammers
jammy	jammier,jammiest
jangle	jangled,jangling,jangles
janitor	janitors
jap	japs
japonica	japonicas
jar	jarred,jars,jarring
jargon	jargons
jasmin	jasmins
jasmine	jasmines
jaundice	jaundices
jaunt	jaunts,jaunted,jaunting
jaunty	jauntiest,jauntier
java	javas
javelin	javelins
jaw	jawing,jawed,jaws
jawbone	jawbones
jay	jays
jaywalker	jaywalkers
jazz	jazzed,jazzes,jazzing
jazzman	jazzmen
jazzy	jazziest,jazzier
jealousy	jealousies
jeep	jeeps
jeer	jeered,jeering,jeers
jejunum	jejuna,jejunums
jelly	jellies
jellyfish	jellyfishes
jemmy	jemmies
jenny	jennies
jeopardise	jeopardised,jeopardises,jeopardising
jeopardize	jeopardizes,jeopardized,jeopardizing
jeopardy	jeopardies
jerk	jerking,jerks,jerked
jerkin	jerkins
jerky	jerkier,jerkiest
jerry-build	jerry-building,jerry-built,jerry-builds
jersey	jerseys
jest	jested,jesting,jests
jester	jesters
jet	jetted,jetting,jets
jet-lag	jet-lags
jetlag	jetlags
jettison	jettisoned,jettisoning,jettisons
jetty	jetties
jewel	jewels
jeweler	jewelers
jeweller	jewellers
jib	jibs,jibbing,jibbed
jibe	jibing,jibes,jibed
jiffy	jiffies
jig	jigged,jigs,jigging
jig-saw	jig-saws
jigger	jiggers
jiggle	jiggling,jiggled,jiggles
jigsaw	jigsawn,jigsaws,jigsawed,jigsawing
jilt	jilting,jilted,jilts
jimmy	jimmies
jingle	jingles,jingling,jingled
jink	jinked,jinking,jinks
jinx	jinxing,jinxed,jinxes
jitter	jittered,jitters,jittering
jive	jiving,jived,jives
job	jobs,jobbing,jobbed
jobholder	jobholders
jobseeker	jobseekers
jock	jocks
jockey	jockeying,jockeyed,jockeys
jockstrap	jockstraps
joe	joes
jog	jogged,jogs,jogging
jogger	joggers
joggle	joggling,joggles,joggled
join	joined,joining,joins
joiner	joiners
joinery	joineries
joint	jointing,joints,jointed
joist	joists
jojoba	jojobas
joke	joking,jokes,joked
joker	jokers
jolly	jollied,jollies,jollying,jolliest,jollier
jolt	jolts,jolted,jolting
jolty	joltier
joss	josses
jostle	jostled,jostling,jostles
jot	jotted,jots,jotting
jotter	jotters
jotting	jottings
joule	joules
jour	jours
journal	journals
journalist	journalists
journey	journeyed,journeying,journeys
journeyman	journeymen
joust	jousted,jousting,jousts
joviality	jovialities
jowl	jowls
jowly	jowlier
joy	joys
joyride	joyridden,joyriding,joyrides,joyrode
joystick	joysticks
ju	jus
jubilation	jubilations
jubilee	jubilees
judder	judders,juddering,juddered
judge	judges,judging,judged
judgement	judgements
judgment	judgments
judiciary	judiciaries
jug	jugs
juggernaut	juggernauts
juggle	juggles,juggling,juggled
juggler	jugglers
jugular	jugulars
juice	juiced,juices,juicing
juicy	juiciest,juicier
jukebox	jukeboxes
julia	julias
jumble	jumbles,jumbled,jumbling
jumbo	jumbos
jump	jumps,jumped,jumping
jumper	jumpers
jumpy	jumpier,jumpiest
jun	juns
junction	junctions
juncture	junctures
jungle	jungles
jungly	junglier
junior	juniors
juniper	junipers
junk	junks,junking,junked
junk-shop	junk-shops
junket	junkets
junkie	junkies
junkshop	junkshops
junky	junkies
junta	juntas
jurisdiction	jurisdictions
jurist	jurists
juror	jurors
jury	juries
juryman	jurymen
just	juster,justest
justice	justices
justification	justifications
justify	justified,justifies,justifying
jut	juts,jutted,jutting
juvenile	juveniles
juxtapose	juxtaposes,juxtaposing,juxtaposed
juxtaposition	juxtapositions
k	ks
ka	kas
kaffir	kaffirs
kafir	kafirs
kaiser	kaisers
kale	kales
kaleidoscope	kaleidoscopes
kamikaze	kamikazes
kan	kans
kanamycin	kanamycins
kangaroo	kangaroos
kappa	kappas
karst	karsts
karyotype	karyotypes
karyotyping	karyotypings
kat	kats
kata	katas
kava	kavas
kayak	kayaks
kayaker	kayakers
kb	kbs
kbp	kbps
kc	kcs
kcal	kcals
kd	kds
kebab	kebabs
keel	keeling,keels,keeled
keen	keens,keening,keened,keener,keenest
keep	keeps,keeping,kept
keeper	keepers
keepsake	keepsakes
keg	kegs
keloid	keloids
kelp	kelps
ken	kens,kenning,kenned
kennel	kennelling,kennels,kenneling,kennelled,kenneled
kent	kenting,kents,kented
keratin	keratins
keratinocyte	keratinocytes
keratitis	keratitides
keratosis	keratoses
kerb	kerbs
kerchief	kerchieves,kerchiefs
kerfuffle	kerfuffles
kernel	kerneling,kernelled,kerneled,kernelling,kernels
kerosene	kerosenes
kestrel	kestrels
ketamine	ketamines
ketch	ketches
ketoacidosis	ketoacidoses
ketoconazole	ketoconazoles
ketone	ketones
ketoprofen	ketoprofens
ketosis	ketoses
kettle	kettles
kettledrum	kettledrums
key	keying,keys,keyed
key-word	key-words
keyboard	keyboarding,keyboarded,keyboards
keyhole	keyholes
keynote	keynotes
keypad	keypads
keypress	keypresses
keyring	keyrings
keystone	keystones
keystroke	keystrokes
keyword	keywords
kg	kgs
kh	khs
khaki	khakier,khakiest
khan	khans
khz	khzs
kibble	kibbles
kibbutz	kibbutzes,kibbutzim
kick	kicks,kicking,kicked
kick-off	kick-offing,kick-offed,kick-offs
kick-start	kick-starts
kickback	kickbacks
kicker	kickers
kickoff	kickoffs
kid	kids,kidding,kidded
kiddie	kiddies
kidnap	kidnapped,kidnaping,kidnaps,kidnapping,kidnaped
kidnapper	kidnappers
kidnapping	kidnappings
kidney	kidneys
kill	killing,kills,killed
killer	killers
killing	killings
killjoy	killjoys
kiln	kilns,kilning,kilned
kilo	kilos
kilobit	kilobits
kilocalorie	kilocalories
kilogram	kilograms
kilogramme	kilogrammes
kiloliter	kiloliters
kilometer	kilometers
kilometre	kilometres
kilowatt	kilowatts
kilowatt-hour	kilowatt-hours
kilt	kilts
kimono	kimonos
kinase	kinases
kind	kinds,kindest,kinder
kindergarten	kindergartens
kindle	kindled,kindling,kindles
kindly	kindliest,kindlier
kindness	kindnesses
kindred	kindreds
kinesin	kinesins
kinetic	kinetics
king	kings
kingdom	kingdoms
kingfisher	kingfishers
kingpin	kingpins
kink	kinked,kinking,kinks
kinky	kinkiest,kinkier
kinship	kinships
kinsman	kinsmen
kinswoman	kinswomen
kiosk	kiosks
kip	kipping,kipped,kips
kipper	kippers
kirk	kirks
kiss	kissing,kisses,kissed
kit	kitting,kitted,kits
kitbag	kitbags
kitchen	kitchens
kitchenette	kitchenettes
kite	kiting,kites,kited
kitten	kittens,kittened,kittening
kittiwake	kittiwakes
kitty	kitties
kiwi	kiwis
klaxon	klaxons
kleptomaniac	kleptomaniacs
km	kms
knack	knacks
knacker	knackers
knap	knaps,knapping,knapped
knapsack	knapsacks
knapweed	knapweeds
knave	knaves
knead	kneaded,kneading,kneads
knee	kneeing,kneed,knees
kneecap	kneecapping,kneecaps,kneecapped
kneel	kneels,kneeled,kneeling,knelt
kneeler	kneelers
knees-up	knees-ups
knell	knells
knife	knifes,knifed,knives,knifing
knife-edge	knife-edges
knight	knighting,knights,knighted
knighthood	knighthoods
knit	knits,knitting,knitted
knitter	knitters
knitting	knittings
knitwear	knitwears
knob	knobbing,knobs,knobbed
knobbly	knobblier
knock	knocking,knocks,knocked
knock-on	knock-ons
knock-up	knock-ups
knocker	knockers
knockout	knockouts
knoll	knolls
knot	knotting,knots,knotted
knotty	knottier,knottiest
knotweed	knotweeds
know	known,knows,knew,knowing
know-all	know-alls
know-it-all	know-it-alls
knower	knowers
knowledge	knowledges
knowledge-base	knowledge-bases
knowledgebase	knowledgebases
known	knowns
knuckle	knuckled,knuckles,knuckling
knuckle-duster	knuckle-dusters
koala	koalas
koan	koans
koi	kois
kola	kolas
kora	koras
kow-tow	kow-towing,kow-towed,kow-tows
kowtow	kowtows,kowtowing,kowtowed
kraal	kraals
krill	krills
krona	kronor
krone	kroner
krugerrand	krugerrands
kudo	kudos
kudu	kudus
kumquat	kumquats
kurtosis	kurtoses
l	ls
lab	labs
label	labeling,labelled,labelling,labels,labeled
lability	labilities
labium	labia
labor	laboring,labors,labored
laboratory	laboratories
laborer	laborers
labour	labouring,laboured,labours
labourer	labourers
laburnum	laburnums
labyrinth	labyrinths
lac	lacta
lace	laced,lacing,laces
lace-up	lace-ups
lacerate	lacerated,lacerating,lacerates
laceration	lacerations
lacewing	lacewings
lack	lacked,lacks,lacking
lackey	lackeys
lacquer	lacquering,lacquered,lacquers
lactase	lactases
lactate	lactating,lactates,lactated
lactation	lactations
lactobacillus	lactobacilli
lactoferrin	lactoferrins
lactone	lactones
lacuna	lacunas,lacunae
lacy	laciest,lacier
lad	lads
ladder	laddered,laddering,ladders
laddie	laddies
lade	lades,laded,lading,laden
lading	ladings
ladle	ladled,ladles,ladling
lady	ladies
lady-in-waiting	ladies-in-waiting,lady-in-waitings
lady-killer	lady-killers
ladybird	ladybirds
ladyship	ladyships
lag	lags,lagged,lagging
lager	lagers
laggard	laggards
lagoon	lagoons
laguna	lagunas
lair	lairs
laird	lairds
laity	laities
lake	lakes
lakh	lakhs
lam	lams,lammed,lamming
lama	lamas
lamb	lambed,lambing,lambs
lambast	lambasting,lambasted,lambasts
lambaste	lambasting,lambasted,lambastes
lambda	lambdas
lambert	lamberts
lambskin	lambskins
lame	lamer,lamest
lamella	lamellae,lamellas
lameness	lamenesses
lament	lamented,lamenting,laments
lamentation	lamentations
lamin	lamins
lamina	laminae,laminas
laminate	laminating,laminated,laminates
lamination	laminations
laminator	laminators
laminin	laminins
laminitis	laminitides
lamp	lamps
lamp-post	lamp-posts
lampoon	lampooned,lampooning,lampoons
lamppost	lampposts
lamprey	lampreys
